Distribución;Tamaño;Mejor Tiempo;Peor Tiempo;Tiempo Medio;Uso de Memoria (bytes)
ascendente;1.000;0,00006610;0,00007090;0,00006796;4.000,00000000
ascendente;2.000;0,00010670;0,00014420;0,00012764;8.000,00000000
ascendente;3.000;0,00011730;0,00020840;0,00016810;12.000,00000000
ascendente;4.000;0,00015400;0,00022860;0,00018702;16.000,00000000
ascendente;5.000;0,00020060;0,00036440;0,00023944;20.000,00000000
descendente;1.000;0,01752260;0,02415740;0,02151324;4.000,00000000
descendente;2.000;0,09268410;0,11588700;0,10237136;8.000,00000000
descendente;3.000;0,15331400;0,24570430;0,19280824;12.000,00000000
descendente;4.000;0,27545640;0,28196210;0,27769306;16.000,00000000
descendente;5.000;0,42272860;0,43403630;0,42838262;20.000,00000000
uniforme;1.000;0,00819560;0,00959270;0,00862134;4.000,00000000
uniforme;2.000;0,03281950;0,03466710;0,03358854;8.000,00000000
uniforme;3.000;0,07381890;0,07876340;0,07704390;12.000,00000000
uniforme;4.000;0,13651790;0,14040490;0,13886842;16.000,00000000
uniforme;5.000;0,20927870;0,21786680;0,21359958;20.000,00000000
gaussiana;1.000;0,00786230;0,00891030;0,00826276;4.000,00000000
gaussiana;2.000;0,03216350;0,03784920;0,03435458;8.000,00000000
gaussiana;3.000;0,07496190;0,07885030;0,07696472;12.000,00000000
gaussiana;4.000;0,13388910;0,14001730;0,13699994;16.000,00000000
gaussiana;5.000;0,20772050;0,21542360;0,21141492;20.000,00000000
