Distribución;Tamaño;Mejor OE;Peor OE;OE Medio;Uso de Memoria (bytes)
ascendente;1.000;12.992,00000000;12.992,00000000;12.992,00000000;4.000,00000000
ascendente;2.000;25.992,00000000;25.992,00000000;25.992,00000000;8.000,00000000
ascendente;3.000;38.992,00000000;38.992,00000000;38.992,00000000;12.000,00000000
ascendente;4.000;51.992,00000000;51.992,00000000;51.992,00000000;16.000,00000000
ascendente;5.000;64.992,00000000;64.992,00000000;64.992,00000000;20.000,00000000
descendente;1.000;4.508.492,00000000;4.508.492,00000000;4.508.492,00000000;4.000,00000000
descendente;2.000;18.016.992,00000000;18.016.992,00000000;18.016.992,00000000;8.000,00000000
descendente;3.000;40.525.492,00000000;40.525.492,00000000;40.525.492,00000000;12.000,00000000
descendente;4.000;72.033.992,00000000;72.033.992,00000000;72.033.992,00000000;16.000,00000000
descendente;5.000;112.542.492,00000000;112.542.492,00000000;112.542.492,00000000;20.000,00000000
uniforme;1.000;2.171.057,00000000;2.310.377,00000000;2.258.693,60000000;4.000,00000000
uniforme;2.000;8.807.652,00000000;9.221.166,00000000;8.970.265,80000000;8.000,00000000
uniforme;3.000;20.003.062,00000000;20.488.558,00000000;20.192.634,40000000;12.000,00000000
uniforme;4.000;35.291.870,00000000;36.185.606,00000000;35.854.206,20000000;16.000,00000000
uniforme;5.000;54.790.239,00000000;56.558.550,00000000;55.818.465,60000000;20.000,00000000
gaussiana;1.000;2.161.211,00000000;2.308.451,00000000;2.232.298,40000000;4.000,00000000
gaussiana;2.000;8.824.977,00000000;9.203.112,00000000;8.919.430,20000000;8.000,00000000
gaussiana;3.000;19.840.306,00000000;20.416.279,00000000;20.046.415,00000000;12.000,00000000
gaussiana;4.000;35.129.042,00000000;36.429.182,00000000;35.629.413,20000000;16.000,00000000
gaussiana;5.000;54.829.929,00000000;56.409.717,00000000;55.728.789,60000000;20.000,00000000
