Semilla;Tamaño;QuickSort;Insercion;Ganador
12.345;500;23.299,00;531.354,00;1
23.451;500;23.155,00;569.766,00;1
34.521;500;22.903,00;582.285,00;1
45.123;500;23.347,00;575.346,00;1
12.345;1.000;48.643,00;2.171.057,00;1
23.451;1.000;49.807,00;2.306.012,00;1
34.521;1.000;49.615,00;2.307.542,00;1
45.123;1.000;48.655,00;2.280.632,00;1
12.345;1.500;76.687,00;5.082.244,00;1
23.451;1.500;76.663,00;5.000.785,00;1
34.521;1.500;75.847,00;5.118.334,00;1
45.123;1.500;75.451,00;5.099.686,00;1
12.345;2.000;102.103,00;8.938.980,00;1
23.451;2.000;105.295,00;8.807.652,00;1
34.521;2.000;103.915,00;9.200.322,00;1
45.123;2.000;102.955,00;9.221.166,00;1
12.345;2.500;131.383,00;14.003.084,00;1
23.451;2.500;130.951,00;13.758.554,00;1
34.521;2.500;131.887,00;14.341.880,00;1
45.123;2.500;133.195,00;13.980.161,00;1
