Distribución;Tamaño;Mejor OE;Peor OE;OE Medio;Uso de Memoria (bytes)
ascendente;500;81.402,00;81.402,00;81.402,00;2.000,00
ascendente;1.000;178.822,00;178.822,00;178.822,00;4.000,00
ascendente;1.500;284.962,00;284.962,00;284.962,00;6.000,00
ascendente;2.000;389.662,00;389.662,00;389.662,00;8.000,00
ascendente;2.500;504.146,00;504.146,00;504.146,00;10.000,00
descendente;500;81.178,00;81.178,00;81.178,00;2.000,00
descendente;1.000;178.374,00;178.374,00;178.374,00;4.000,00
descendente;1.500;282.466,00;282.466,00;282.466,00;6.000,00
descendente;2.000;388.766,00;388.766,00;388.766,00;8.000,00
descendente;2.500;499.746,00;499.746,00;499.746,00;10.000,00
uniforme;500;87.710,00;87.742,00;87.725,20;2.000,00
uniforme;1.000;193.406,00;193.518,00;193.453,20;4.000,00
uniforme;1.500;307.514,00;307.670,00;307.618,00;6.000,00
uniforme;2.000;422.906,00;423.070,00;422.998,80;8.000,00
uniforme;2.500;545.330,00;545.722,00;545.530,00;10.000,00
gaussiana;500;87.666,00;87.782,00;87.728,40;2.000,00
gaussiana;1.000;193.362,00;193.538,00;193.480,40;4.000,00
gaussiana;1.500;307.626,00;307.702,00;307.655,60;6.000,00
gaussiana;2.000;422.834,00;423.034,00;422.963,60;8.000,00
gaussiana;2.500;545.390,00;545.682,00;545.554,80;10.000,00
