Semilla;Tamaño;QuickSort;MergeSort;Ganador
12.345;500;23.299,00000000;87.726,00000000;1
23.451;500;23.155,00000000;87.722,00000000;1
34.521;500;22.903,00000000;87.726,00000000;1
45.123;500;23.347,00000000;87.742,00000000;1
12.345;1.000;48.643,00000000;193.518,00000000;1
23.451;1.000;49.807,00000000;193.474,00000000;1
34.521;1.000;49.615,00000000;193.506,00000000;1
45.123;1.000;48.655,00000000;193.406,00000000;1
12.345;1.500;76.687,00000000;307.646,00000000;1
23.451;1.500;76.663,00000000;307.642,00000000;1
34.521;1.500;75.847,00000000;307.734,00000000;1
45.123;1.500;75.451,00000000;307.514,00000000;1
12.345;2.000;102.103,00000000;422.958,00000000;1
23.451;2.000;105.295,00000000;423.042,00000000;1
34.521;2.000;103.915,00000000;423.042,00000000;1
45.123;2.000;102.955,00000000;422.906,00000000;1
12.345;2.500;131.383,00000000;545.602,00000000;1
23.451;2.500;130.951,00000000;545.466,00000000;1
34.521;2.500;131.887,00000000;545.706,00000000;1
45.123;2.500;133.195,00000000;545.330,00000000;1
